City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
68,Port Blair,IN,80.73,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
70,Bluff,NZ,48.79,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
71,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
73,Kushiro,JP,61.75,fog,42.975,144.3747,Toyoko Inn Kushiro Jujigai
74,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
76,Guerrero Negro,MX,82.62,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
77,Touros,BR,77.36,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
78,Le Port,RE,71.89,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
79,Eyl,SO,78.03,scattered clouds,7.9803,49.8164,Amiin Hotel
80,Yulara,AU,57.04,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
81,Sitka,US,60.69,broken clouds,57.0531,-135.33,Westmark Sitka
82,Sokoto,NG,75.33,broken clouds,13.0609,5.239,Grand Ibro Hotel
85,Fushun,CN,60.51,clear sky,41.8558,123.9233,Love Theme Apartment Xinhua Branch
86,Arica,CL,62.15,overcast clouds,-18.475,-70.3042,Hostal Jardin Del Sol
87,Carnarvon,AU,64.71,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
88,Ponta Do Sol,PT,77.72,light rain,32.6667,-17.1,Hotel do Campo
89,Gwadar,PK,81.48,broken clouds,25.1216,62.3254,Sadaf Resort
90,Ust-Koksa,RU,43.97,overcast clouds,50.2696,85.6108,Uymonskaya Dolina
91,Punta Arenas,CL,44.71,scattered clouds,-53.15,-70.9167,Hotel Hain
92,Saint Anthony,US,73.65,few clouds,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
93,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
94,Celestun,MX,84.6,overcast clouds,20.8667,-90.4,Posada Lilia
95,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
96,Qaanaaq,GL,37.18,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
97,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
98,Faanui,PF,79.14,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
99,Bengkulu,ID,74.28,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
100,Miles City,US,81.57,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
