City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Bethel,US,2022-09-11 22:21:49,41.3712,-73.414,70.11,85,100,5.75,light rain
111,Ust-Maya,RU,2022-09-11 22:21:49,60.4167,134.5333,36.27,78,7,2.48,clear sky
112,Chiredzi,ZW,2022-09-11 22:21:49,-21.05,31.6667,68.74,47,0,5.12,clear sky
113,Cape Town,ZA,2022-09-11 22:20:29,-33.9258,18.4232,57.38,70,20,9.22,few clouds
114,Jamestown,US,2022-09-11 22:21:00,42.097,-79.2353,69.94,73,100,3.44,overcast clouds
115,Barro,BR,2022-09-11 22:21:50,-6.7167,-38.8667,85.73,33,95,5.68,overcast clouds
116,Umm Lajj,SA,2022-09-11 22:21:50,25.0213,37.2685,86.45,66,4,8.68,clear sky
117,Bow Island,CA,2022-09-11 22:21:51,49.8668,-111.3684,88.86,13,29,12.66,scattered clouds
118,Sechura,PE,2022-09-11 22:21:51,-5.5569,-80.8222,71.13,61,5,18.57,clear sky
119,Santiago,CL,2022-09-11 22:17:03,-33.4569,-70.6483,58.55,59,20,8.05,few clouds
120,Luanda,AO,2022-09-11 22:17:06,-8.8368,13.2343,70.52,90,0,7.45,clear sky
121,Butaritari,KI,2022-09-11 22:21:52,3.0707,172.7902,82.13,69,90,11.23,overcast clouds
122,Maniitsoq,GL,2022-09-11 22:21:52,65.4167,-52.9,41.16,98,100,16.73,light rain
123,Ongandjera,NA,2022-09-11 22:21:52,-17.8833,15.0667,71.17,18,3,13.31,clear sky
124,Vallenar,CL,2022-09-11 22:17:00,-28.5708,-70.7581,62.91,44,0,5.77,clear sky
125,Satipo,PE,2022-09-11 22:21:53,-11.2522,-74.6386,83.19,52,99,2.48,overcast clouds
126,Puerto Ayacucho,VE,2022-09-11 22:17:52,5.6639,-67.6236,80.46,86,96,1.32,overcast clouds
127,Kidal,ML,2022-09-11 22:21:54,18.4411,1.4078,93.58,17,11,6.38,few clouds
128,Zhigansk,RU,2022-09-11 22:21:54,66.7697,123.3711,32.76,91,31,7.99,scattered clouds
